"Week","Strain","Sex","Irradiation.Dose","Lineage","N","value","sd","se","ci"
3,"NRG","F","Irradiated","CD45+",10,1.04120517457011,0.360586236712778,0.1140273800921,0.257947854630458
3,"NRG","F","Irradiated","GPA+",10,1.14745879272542,0.891341285313154,0.281866863413156,0.637627144025533
3,"NRG","F","Irradiated","CD33+15+",10,0.917721347340312,0.461094738198065,0.145810958982493,0.329847305276722
3,"NRG","F","Irradiated","CD19+",10,0.0401958643445183,0.485659628402967,0.153579059334438,0.347419969129209
3,"NRG","F","Irradiated","CD3+",10,-1.56057644609515,0.59385373114643,0.187793038741199,0.424817367712045
3,"NRG","F","Irradiated","CD34+",10,0.171511122324418,0.477816112697307,0.151098721885119,0.341809056002076
3,"NRG","M","Irradiated","CD45+",4,0.462166532756028,0.739210279253821,0.36960513962691,1.17624851101953
3,"NRG","M","Irradiated","GPA+",4,-0.189826607109413,1.38021142288323,0.690105711441614,2.19622437163255
3,"NRG","M","Irradiated","CD33+15+",4,0.341601600450922,0.845658283028157,0.422829141514079,1.34563103917776
3,"NRG","M","Irradiated","CD19+",4,-0.452808505064259,0.4108122098507,0.20540610492535,0.653693899702398
3,"NRG","M","Irradiated","CD3+",4,-1.99019604860408,0.0196079027918319,0.00980395139591594,0.0312005488971137
3,"NRG","M","Irradiated","CD34+",4,-0.504159188929422,0.803565671634997,0.401782835817499,1.27865230137381
3,"NRG-W41","F","Irradiated","CD45+",10,0.851864941607644,0.480622514562754,0.151986184077575,0.343816634957452
3,"NRG-W41","F","Irradiated","GPA+",10,0.261424571171313,1.04076989049453,0.329120337408673,0.744521928691591
3,"NRG-W41","F","Irradiated","CD33+15+",10,0.548631524665115,0.669846715564566,0.211824130436699,0.47917947392088
3,"NRG-W41","F","Irradiated","CD19+",10,0.347361309969434,0.385701304605873,0.121969461905295,0.275914091891706
3,"NRG-W41","F","Irradiated","CD3+",10,-1.63187880846864,0.593185091804778,0.187581596415918,0.424339051941391
3,"NRG-W41","F","Irradiated","CD34+",10,-0.179061943940321,0.706321235253957,0.223358386314612,0.505271773472648
3,"NRG-W41","M","Irradiated","CD45+",4,0.324068775657083,0.28871402853846,0.14435701426923,0.459408446702898
3,"NRG-W41","M","Irradiated","GPA+",4,-0.516392768540301,1.22504558956407,0.612522794782036,1.94932090515614
3,"NRG-W41","M","Irradiated","CD33+15+",4,0.218665376719161,0.310610473671698,0.155305236835849,0.494250577159459
3,"NRG-W41","M","Irradiated","CD19+",4,-0.549510048082325,0.362524840513242,0.181262420256621,0.576857919632466
3,"NRG-W41","M","Irradiated","CD3+",4,-2,0,0,0
3,"NRG-W41","M","Irradiated","CD34+",4,-0.329421892335401,0.222931719548121,0.11146585977406,0.35473411360323
6,"NRG","F","Irradiated","CD45+",10,1.74985334610115,0.220261931456787,0.0696529385231337,0.15756589379005
6,"NRG","F","Irradiated","GPA+",10,-0.783666345086484,0.626232279067836,0.198032034617255,0.447979585572925
6,"NRG","F","Irradiated","CD33+15+",10,0.902039666723662,0.127292321843414,0.0402533665676393,0.091059441507727
6,"NRG","F","Irradiated","CD19+",10,1.57354006715098,0.315157175023102,0.099661449401733,0.225449861618981
6,"NRG","F","Irradiated","CD3+",10,-1.55926432795023,0.584392540402396,0.184801147528354,0.418049239574595
6,"NRG","F","Irradiated","CD34+",10,0.500217465707127,0.224952869193778,0.0711363432842265,0.160921588495685
6,"NRG","M","Irradiated","CD45+",4,0.778620976472037,0.793557066555789,0.396778533277894,1.26272637724612
6,"NRG","M","Irradiated","GPA+",4,-1.3243806967871,0.928042429796518,0.464021214898259,1.47672260092622
6,"NRG","M","Irradiated","CD33+15+",4,-0.0108669159149429,0.975370507840092,0.487685253920046,1.5520321344792
6,"NRG","M","Irradiated","CD19+",4,0.589480519904758,0.745729798650906,0.372864899325453,1.18662252122827
6,"NRG","M","Irradiated","CD3+",4,-1.99398699529791,0.0120260094041797,0.00601300470208987,0.0191360645978195
6,"NRG","M","Irradiated","CD34+",4,-0.597593352083473,0.995206682602523,0.497603341301262,1.58359591502103
6,"NRG-W41","F","Irradiated","CD45+",10,1.59000966511839,0.317965520926577,0.100549526352992,0.227458831255387
6,"NRG-W41","F","Irradiated","GPA+",10,0.25608237533839,1.29002237163161,0.407940892692807,0.922826412403327
6,"NRG-W41","F","Irradiated","CD33+15+",10,0.85283983481155,0.740009750934832,0.234011630368798,0.529371085816863
6,"NRG-W41","F","Irradiated","CD19+",10,1.34168495405805,0.336235179930991,0.106326899805847,0.240528157993923
6,"NRG-W41","F","Irradiated","CD3+",10,-1.62327498662887,0.645218095196135,0.204035876837513,0.461561220255793
6,"NRG-W41","F","Irradiated","CD34+",10,0.468765547021384,0.612727342880137,0.193761398816419,0.438318736206362
6,"NRG-W41","M","Irradiated","CD45+",4,1.12791679799303,0.588614513697472,0.294307256848736,0.936617042176443
6,"NRG-W41","M","Irradiated","GPA+",4,-0.139440400494055,1.29740729840822,0.648703649204109,2.06446453163368
6,"NRG-W41","M","Irradiated","CD33+15+",4,0.623872140520865,0.689954209769013,0.344977104884506,1.09787111284717
6,"NRG-W41","M","Irradiated","CD19+",4,0.833458826531096,0.558467973784556,0.279233986892278,0.888647169894969
6,"NRG-W41","M","Irradiated","CD3+",4,-2,0,0,0
6,"NRG-W41","M","Irradiated","CD34+",4,0.240121148810894,0.784626795755959,0.392313397877979,1.24851632359007
10,"NRG","F","Irradiated","CD45+",10,1.65644362282679,0.278389287101249,0.0880344223430481,0.199147699076129
10,"NRG","F","Irradiated","GPA+",10,-1.09988500613121,0.48068411181203,0.152005662838106,0.343860698975111
10,"NRG","F","Irradiated","CD33+15+",10,0.714508921791971,0.247618477437117,0.0783038379444302,0.177135587880583
10,"NRG","F","Irradiated","CD19+",10,1.52837212006378,0.311185046903806,0.0984053522002354,0.222608372337443
10,"NRG","F","Irradiated","CD3+",10,-1.757793038305,0.399958961312755,0.126478128834347,0.286113405079933
10,"NRG","F","Irradiated","CD34+",10,0.566824091886612,0.198426695612711,0.0627480306717108,0.141945907035492
10,"NRG","M","Irradiated","CD45+",8,0.879331864706597,0.796174626771549,0.281490238799415,0.665618645251741
10,"NRG","M","Irradiated","GPA+",8,-1.49484451284756,0.985699446270222,0.34849738133475,0.824065359520727
10,"NRG","M","Irradiated","CD33+15+",8,0.060024217978507,0.777641323245401,0.274937726498851,0.650124415756968
10,"NRG","M","Irradiated","CD19+",8,0.71766950474923,0.822043561982652,0.290636288554338,0.687245616308507
10,"NRG","M","Irradiated","CD3+",8,-2,0,0,0
10,"NRG","M","Irradiated","CD34+",8,-0.337366231348527,0.815238731732346,0.288230417746931,0.681556635851113
10,"NRG-W41","F","Irradiated","CD45+",10,1.55962844192269,0.369275022470318,0.116775015401606,0.264163437526614
10,"NRG-W41","F","Irradiated","GPA+",10,-0.266608720015886,1.23002774704064,0.388968926585385,0.879908843381059
10,"NRG-W41","F","Irradiated","CD33+15+",10,0.930853357757109,0.484491726246239,0.153209736244489,0.346584502255896
10,"NRG-W41","F","Irradiated","CD19+",10,1.32828119527517,0.371283433425777,0.117410130711295,0.265600168173629
10,"NRG-W41","F","Irradiated","CD3+",10,-1.78882422395671,0.315422524367594,0.0997453602321559,0.225639681105059
