Exp,Week,Strain,Sex,Irradiation.Dose,Input,Mouse,CD45.Percent,GPA.Percent,CD33.15.Percent,CD19.Percent,CD3.Percent,CD34.Percent
140310A,10,NRG-W41,M,0 Rad,CB.38K,A1L,15.63243397,0.069129577,4.637781347,10.36537015,0,1.363275929
140310A,10,NRG-W41,M,0 Rad,CB.38K,A1LL,13.43459762,1.521378711,4.777413522,7.788246404,0.003487555,1.016488086
140310A,10,NRG-W41,M,0 Rad,CB.38K,A1LR,54.29646254,0.073734434,3.794101961,42.35506352,0.001789671,2.857388298
140310A,10,NRG-W41,M,0 Rad,CB.38K,A1R,61.09302431,0.428803367,7.129421681,41.65473975,0.001272833,5.916977332
140310A,10,NRG-W41,M,150 Rad,CB.38K,A2L,91.37523048,4.267603626,11.54109291,73.35092045,0.000765489,6.306580434
140310A,10,NRG-W41,M,150 Rad,CB.38K,A2LL,95.68571682,3.358142249,19.19917142,71.2013582,0.000230673,6.28504072
140310A,10,NRG-W41,M,150 Rad,CB.38K,A2R,91.47772187,0.398609394,11.2011097,64.59631222,0.000348232,11.87598303
140310A,10,NRG-W41,M,150 Rad,CB.38K,A2RR,83.86569254,8.903344977,16.17402522,51.37243397,0.00105914,8.476511446
140310A,10,NRG,M,0 Rad,CB.38K,A4L,1.937800804,0.005004195,0.05224968,1.721001428,0.002207733,0.032674448
140310A,10,NRG,M,0 Rad,CB.38K,A4LL,0.918001276,0.006904342,0.067938723,0.752849422,0.001933216,0.01877981
140310A,10,NRG,M,0 Rad,CB.38K,A4R,1.798924669,0.020949563,0.076418291,1.5003934,0.000833221,0.046541358
140310A,10,NRG,M,0 Rad,CB.38K,A4RR,0.989790873,0.012652337,0.064715977,0.535179314,0.001454292,0.088711789
140310A,10,NRG,F,150 Rad,CB.38K,A5L,87.12344053,0.058075411,3.177965891,79.46463406,0.001389839,3.034018292
140310A,10,NRG,F,150 Rad,CB.38K,A5LL,85.35731531,0.009886112,1.321304884,80.73529779,0.000936579,1.393941791
140310A,10,NRG,F,150 Rad,CB.38K,A5R,31.11375036,0.036323189,2.730870792,21.12833992,0.001657905,2.676762805
140310A,10,NRG,F,150 Rad,CB.38K,A5RR,80.12774704,0.365364241,7.938533507,60.05279122,0.001701479,5.40990896
140310A,10,NRG,M,900 Rad,CB.38K,A6L,60.524691,0.01508472,3.618111019,53.37815873,0.00140323,1.873545611
140310A,10,NRG,M,900 Rad,CB.38K,A6LL,14.92473112,0.015372508,1.762338201,12.42888452,0.003525805,0.282487469
140310A,10,NRG,M,900 Rad,CB.38K,A6R,34.31047331,0.006655835,3.101856859,27.07474859,0.001069688,1.653024186
140310A,10,NRG,M,900 Rad,CB.38K,A6RR,23.7239832,0.068092157,4.184023055,16.21375604,0.000888932,0.937289434
140310A,18,NRG-W41,M,150 Rad,CB.38K,A2L,62.8421085,3.213219682,NA,NA,NA,2.152198665
140310A,18,NRG-W41,M,150 Rad,CB.38K,A2LL,80.54609696,6.41114923,NA,NA,NA,4.280508073
140310A,18,NRG-W41,M,150 Rad,CB.38K,A2R,24.55770913,6.265972645,NA,NA,NA,2.851225167
140310A,18,NRG-W41,M,150 Rad,CB.38K,A2RR,83.79624204,5.858952824,NA,NA,NA,7.890282173
140310A,18,NRG,F,150 Rad,CB.38K,A5L,55.75901022,0.637618792,NA,NA,NA,1.270934194
140310A,18,NRG,F,150 Rad,CB.38K,A5LL,70.37863185,0.113158088,NA,NA,NA,4.028916369
140310A,18,NRG,F,150 Rad,CB.38K,A5R,57.63029093,0.058733701,NA,NA,NA,3.875641176
140310A,18,NRG,F,150 Rad,CB.38K,A5RR,63.90141904,1.718980046,NA,NA,NA,2.837295994
140310A,18,NRG,M,900 Rad,CB.38K,A6L,25.78725221,0.064023523,NA,NA,NA,0.673432609
140310A,18,NRG,M,900 Rad,CB.38K,A6LL,54.85107315,0.101683249,NA,NA,NA,1.43295163
140310A,18,NRG,M,900 Rad,CB.38K,A6R,0.896757086,0.074658245,NA,NA,NA,0.13644438
140310A,18,NRG,M,900 Rad,CB.38K,A6RR,74.80594616,7.524306951,NA,NA,NA,5.979911611
