"Exp","Week","Strain","Sex","Irradiation.Dose","Input","CD45","CD33.15","CD19","CD3","Platelets"
"140310A",3,"NRG-W41","M","0 Rad","CB.38K",0.61,0.152982107,0.050994036,0,0
"140310A",3,"NRG-W41","M","0 Rad","CB.38K",0.47,0.031307213,0.09392164,0,0
"140310A",3,"NRG-W41","M","0 Rad","CB.38K",1.09,0.155611729,0.259352882,0,0
"140310A",3,"NRG-W41","M","0 Rad","CB.38K",0.93,0.308478653,0.102826218,0,0
"140310A",3,"NRG-W41","M","150 Rad","CB.38K",10.25,7.263807994,1.339425587,0,230.456621
"140310A",3,"NRG-W41","M","150 Rad","CB.38K",6.12,3.705457464,0.874899679,0,31.10775862
"140310A",3,"NRG-W41","M","150 Rad","CB.38K",6.96,4.454191617,1.27994012,0,43.5443038
"140310A",3,"NRG-W41","M","150 Rad","CB.38K",7.07,3.66576087,1.497282609,0,45.50660793
"140310A",3,"NRG","M","0 Rad","CB.38K",0.67,0.15504735,0.15504735,0,0
"140310A",3,"NRG","M","0 Rad","CB.38K",0.21,0.051986218,0.103972436,0,0
"140310A",3,"NRG","M","0 Rad","CB.38K",0.31,0.051341073,0.205364291,0,0
"140310A",3,"NRG","M","0 Rad","CB.38K",1.9,0.358526358,0.512180511,0,0
"140310A",3,"NRG","F","150 Rad","CB.38K",1.54,0.410975366,0.513719207,0,8.65
"140310A",3,"NRG","F","150 Rad","CB.38K",4.21,1.848648649,1.027027027,0,21.82773109
"140310A",3,"NRG","F","150 Rad","CB.38K",3.28,1.384269438,1.076654008,0,31.37931034
"140310A",3,"NRG","F","150 Rad","CB.38K",1.92,0.675820835,0.675820835,0,13.4612069
"140310A",3,"NRG","M","900 Rad","CB.38K",12.71,9.326325411,1.198354662,0,257.2301255
"140310A",3,"NRG","M","900 Rad","CB.38K",16.89,12.04998996,2.059827344,0,856.5914894
"140310A",3,"NRG","M","900 Rad","CB.38K",16.92,12.70008117,2.186079545,0,772.214876
"140310A",3,"NRG","M","900 Rad","CB.38K",13.66,11.63076923,0.830769231,0,667.7593361
"140310A",6,"NRG-W41","M","0 Rad","CB.38K",9.21,1.036363636,6.275757576,0,0
"140310A",6,"NRG-W41","M","0 Rad","CB.38K",5.76,0.921832884,4.148247978,0,8.806866953
"140310A",6,"NRG-W41","M","0 Rad","CB.38K",22.46,1.799389002,17.70366599,0,18
"140310A",6,"NRG-W41","M","0 Rad","CB.38K",8.09,0.803355705,5.623489933,0,0
"140310A",6,"NRG-W41","M","150 Rad","CB.38K",134.52,10.79877773,102.3561566,0,408.5429864
"140310A",6,"NRG-W41","M","150 Rad","CB.38K",221.98,17.43259557,170.4265594,0,3371.142857
"140310A",6,"NRG-W41","M","150 Rad","CB.38K",70.03,5.148722628,53.53501369,0,244.0704846
"140310A",6,"NRG-W41","M","150 Rad","CB.38K",110.24,9.669413093,84.59288939,0,150.362069
"140310A",6,"NRG","M","0 Rad","CB.38K",1.65,0.057,1.311,0,0
"140310A",6,"NRG","M","0 Rad","CB.38K",2.95,0.283237633,1.869368375,0,0
"140310A",6,"NRG","M","0 Rad","CB.38K",2.85,0.113898757,1.936278863,0,0
"140310A",6,"NRG","M","0 Rad","CB.38K",1.59,0.056949378,1.309835702,0,0
"140310A",6,"NRG","F","150 Rad","CB.38K",110,5.007718502,90.89591373,0,191.52
"140310A",6,"NRG","F","150 Rad","CB.38K",70.31,1.795326259,59.18785279,0,75.83478261
"140310A",6,"NRG","F","150 Rad","CB.38K",79.69,1.547943675,66.73357175,0,187.7946429
"140310A",6,"NRG","F","150 Rad","CB.38K",114.75,3.733206449,101.0263099,0,447.4625551
"140310A",6,"NRG","M","900 Rad","CB.38K",32.71,1.715336603,25.73004904,0,203.3920705
"140310A",6,"NRG","M","900 Rad","CB.38K",49.17,2.796275267,38.85657506,0,157.5
"140310A",6,"NRG","M","900 Rad","CB.38K",43.71,5.204012624,30.18327322,0,172.5132743
"140310A",6,"NRG","M","900 Rad","CB.38K",NA,NA,NA,NA,270
"140310A",10,"NRG-W41","M","0 Rad","CB.38K",28.58,2.070403587,18.57612108,0,31.77876106
"140310A",10,"NRG-W41","M","0 Rad","CB.38K",21.15,0.964072518,14.63121822,0,22.8
"140310A",10,"NRG-W41","M","0 Rad","CB.38K",77.94,2.215227273,55.03090909,0,48.85714286
"140310A",10,"NRG-W41","M","0 Rad","CB.38K",23.74,1.476422404,14.02601284,0,57
"140310A",10,"NRG-W41","M","150 Rad","CB.38K",283.28,17.92897407,201.9033822,0,1172.571429
"140310A",10,"NRG-W41","M","150 Rad","CB.38K",496.44,27.99423248,337.9222493,0.113797693,4981.438914
"140310A",10,"NRG-W41","M","150 Rad","CB.38K",147.79,6.819963948,90.79799459,0,607.5
"140310A",10,"NRG-W41","M","150 Rad","CB.38K",95.95,5.378692221,68.82412627,0,451.0862069
"140310A",10,"NRG","M","0 Rad","CB.38K",1.3,0.059278946,0.829905246,0,0
"140310A",10,"NRG","M","0 Rad","CB.38K",3.93,0.231081081,2.541891892,0,0
"140310A",10,"NRG","M","0 Rad","CB.38K",9.01,0.464884459,5.113729044,0,0
"140310A",10,"NRG","M","0 Rad","CB.38K",1.72,0.114790781,0.573953905,0,0
"140310A",10,"NRG","F","150 Rad","CB.38K",154.59,2.748214286,114.8524554,0,282.3853211
"140310A",10,"NRG","F","150 Rad","CB.38K",123.03,1.392760181,80.60599548,0,242.25
"140310A",10,"NRG","F","150 Rad","CB.38K",139.68,4.677285007,94.23863125,0,49.06956522
"140310A",10,"NRG","F","150 Rad","CB.38K",208.69,3.908679329,148.7564046,0,1353.258621
"140310A",10,"NRG","M","900 Rad","CB.38K",47.83,1.028514146,28.79839608,0,40.3231441
"140310A",10,"NRG","M","900 Rad","CB.38K",57.52,0.582822086,40.15644172,0,60.35294118
"140310A",10,"NRG","M","900 Rad","CB.38K",23.17,1.002183406,12.20305677,0,4.422413793
"140310A",10,"NRG","M","900 Rad","CB.38K",98.3,3.629993152,64.57874914,0,662.2363636
"140310A",20,"NRG-W41","M","0 Rad","CB.38K",64.28,1.91646529,59.79371705,0,58.96236559
"140310A",20,"NRG-W41","M","0 Rad","CB.38K",11.54,0.930037313,10.3398266,0,83.54748603
"140310A",20,"NRG-W41","M","0 Rad","CB.38K",197.23,2.525819319,190.5650065,0.053740837,43.11351351
"140310A",20,"NRG-W41","M","0 Rad","CB.38K",79.13,1.376194521,75.84949034,0,59.92896175
"140310A",20,"NRG-W41","M","150 Rad","CB.38K",533.11,31.48301414,446.3882239,2.21631327,1754.080214
"140310A",20,"NRG-W41","M","150 Rad","CB.38K",811.77,28.28084005,660.2113349,0.40155351,4085.532609
"140310A",20,"NRG-W41","M","150 Rad","CB.38K",180.24,11.90464928,161.5466659,0,319.04
"140310A",20,"NRG-W41","M","150 Rad","CB.38K",536.06,22.11813063,459.9336149,0.954335586,3864.91358
"140310A",20,"NRG","M","0 Rad","CB.38K",1.36,0,1.134759845,0,0
"140310A",20,"NRG","M","0 Rad","CB.38K",6.64,0.054912976,5.985514431,0,0
"140310A",20,"NRG","M","0 Rad","CB.38K",3.38,0,3.22375512,0,0
"140310A",20,"NRG","M","0 Rad","CB.38K",0.63,0.057088869,0.285444343,0,0
"140310A",20,"NRG","F","150 Rad","CB.38K",197.53,2.62138475,157.6107581,0.054612182,1425.123529
"140310A",20,"NRG","F","150 Rad","CB.38K",166.2,1.685640216,149.4039112,0,155.9553073
"140310A",20,"NRG","F","150 Rad","CB.38K",244.47,4.341951488,211.5464719,0.109922823,583.4715909
"140310A",20,"NRG","F","150 Rad","CB.38K",193.78,3.687446398,162.8889365,0.053441252,1363.129944
"140310A",20,"NRG","M","900 Rad","CB.38K",366.5,342.209346,3.57959567,0,0
"140310A",20,"NRG","M","900 Rad","CB.38K",65.62,2.450384025,41.04393241,0,37.12234043
"140310A",20,"NRG","M","900 Rad","CB.38K",1.83,0.053903547,1.024167388,0,0
"140310A",20,"NRG","M","900 Rad","CB.38K",136.52,6.740930079,122.4328276,0,1316.264045
"140310A",26,"NRG-W41","M","0 Rad","CB.38K",28.84,1.147370849,15.06880381,4.283517835,49.2345679
"140310A",26,"NRG-W41","M","0 Rad","CB.38K",NA,NA,NA,NA,59.58167331
"140310A",26,"NRG-W41","M","0 Rad","CB.38K",220.3,2.059926141,156.1089973,3.730136526,83.43096234
"140310A",26,"NRG-W41","M","0 Rad","CB.38K",32.96,0.727102956,21.81308867,1.858151997,75.72151899
"140310A",26,"NRG","M","0 Rad","CB.38K",0.2,0.049581423,0.099162846,0,0
"140310A",26,"NRG","M","0 Rad","CB.38K",7.38,0.250251509,5.192718813,0,0
"140310A",26,"NRG","M","0 Rad","CB.38K",1.21,0.071132399,0.85358879,0,0
"140310A",26,"NRG","M","0 Rad","CB.38K",0.44,0,0.295778835,0,0
"140708M",3,"NRG","F","150 Rad","CB.38Km",0.581531268,0.387687512,0.048460939,1e-11,4.260683761
"140708M",3,"NRG","F","150 Rad","CB.38Km",0.04904377,0.04904377,0,1e-11,8.745614035
"140708M",3,"NRG-W41","F","150 Rad","CB.38Km",0.437085123,0.097130027,0,1e-11,34.23175966
"140708M",3,"NRG-W41","F","150 Rad","CB.38Km",0.541081669,0.147567728,0.049189243,1e-11,33.79661017
"140708M",3,"NRG","M","150 Rad","CB.38Km",0.294727488,0.294727488,0,1e-11,21.58008658
"140708M",3,"NRG","M","150 Rad","CB.38Km",0.473268645,0.331288052,0.047326865,1e-11,26.35242291
"140708M",3,"NRG-W41","M","150 Rad","CB.38Km",0.45483635,0.27290181,0,1e-11,12.67372881
"140708M",3,"NRG-W41","M","150 Rad","CB.38Km",0.095416187,0.047708094,0,1e-11,0
"140708M",6,"NRG","F","150 Rad","CB.38Km",2.186839482,0.397607178,1.590428714,0,4.816425121
"140708M",6,"NRG","F","150 Rad","CB.38Km",0.941500994,0.099105368,0.693737575,0,13.35267857
"140708M",6,"NRG-W41","F","150 Rad","CB.38Km",25.64988814,2.585265406,22.30425056,0,38.34615385
"140708M",6,"NRG-W41","F","150 Rad","CB.38Km",6.098938322,1.864964611,3.931547017,0,175.6619048
"140708M",6,"NRG","M","150 Rad","CB.38Km",2.004020101,0.551105528,1.302613065,0,9.188940092
"140708M",6,"NRG","M","150 Rad","CB.38Km",0.702112676,0.250754527,0.451358149,0,9.188940092
"140708M",6,"NRG-W41","M","150 Rad","CB.38Km",7.850393701,2.868413083,4.478750252,0,87.69907407
"140708M",6,"NRG-W41","M","150 Rad","CB.38Km",1.362573395,0.454191132,0.807450901,0,9.146788991
"140708M",10,"NRG","F","150 Rad","CB.38Km",47.71410674,2.060949637,30.60197945,0,68.23574144
"140708M",10,"NRG","F","150 Rad","CB.38Km",12.05197945,0.753248716,8.135086129,0.075324872,0
"140708M",10,"NRG-W41","F","150 Rad","CB.38Km",596.9007282,26.2720391,478.7243197,0.573208126,3333.447826
"140708M",10,"NRG-W41","F","150 Rad","CB.38Km",187.0734545,13.23290909,132.2384545,0.090636364,816.5475113
"140708M",10,"NRG","M","150 Rad","CB.38Km",8.57063141,0.65156847,4.661220591,0.100241303,38.34615385
"140708M",10,"NRG","M","150 Rad","CB.38Km",9.562809406,1.336736799,5.655424917,0,90.63636364
"140708M",10,"NRG-W41","M","150 Rad","CB.38Km",NA,NA,NA,NA,2866.375
"140708M",10,"NRG-W41","M","150 Rad","CB.38Km",5.058579336,1.175225502,2.65703157,0.051096761,41.69961977
"140708M",20,"NRG","F","150 Rad","CB.38Km",39.88,1.597403315,28.36767956,1.927900552,98.00510204
"140708M",20,"NRG","F","150 Rad","CB.38Km",48.68325394,2.219915079,35.1056338,2.01341135,21.12970711
"140708M",20,"NRG-W41","F","150 Rad","CB.38Km",1477.423137,49.24004449,827.0996663,292.3350389,4198.678733
"140708M",20,"NRG","M","150 Rad","CB.38Km",76.45777464,5.863326276,10.5539873,4.807927546,13.58035714
"140708M",20,"NRG-W41","M","150 Rad","CB.38Km",601.1714858,82.10392571,271.0371997,110.1556383,19697.76667
"140708M",20,"NRG-W41","M","150 Rad","CB.38Km",2.99145154,0.451539855,1.862601902,0,18.47272727
"140708M",30,"NRG","F","150 Rad","CB.38Km",14.36121884,1.657063712,5.385457064,3.383171745,62.2
"140708M",30,"NRG","F","150 Rad","CB.38Km",35.22627447,2.212278107,16.22337278,8.452036868,62.2
"140708M",30,"NRG-W41","F","150 Rad","CB.38Km",1106.055681,28.4615602,370.1411815,494.5548332,8701
"140708M",30,"NRG","M","150 Rad","CB.38Km",107.0015521,1.260864567,87.97395953,0.40118418,156
"140708M",30,"NRG","M","150 Rad","CB.38Km",10.41946721,0.408606557,7.150614754,0,0
"140708M",30,"NRG-W41","M","150 Rad","CB.38Km",1.834461064,0.295880817,1.361051757,0,8
"140708M",3,"NRG","F","900 Rad","CB.38Kq",11.57674444,6.838356016,1.346133074,0,318.0904762
"140708M",3,"NRG","F","900 Rad","CB.38Kq",11.15079965,5.979414307,0.969634753,0.215474389,392.125523
"140708M",3,"NRG","F","150 Rad","CB.38Kq",3.230457675,1.110469826,0.605710814,0,25.56410256
"140708M",3,"NRG","F","150 Rad","CB.38Kq",2.950306122,1.119081633,0.763010204,0,21.96035242
"140708M",3,"NRG","M","900 Rad","CB.38Kq",0.711416922,0.355708461,0,0,0
"140708M",3,"NRG","M","900 Rad","CB.38Kq",1.589539189,0.512754577,0.153826373,0,17.11587983
"140708M",3,"NRG","F","150 Rad","CB.38Kq",14.84285399,10.22507719,0.879576533,0.054973533,1028.017778
"140708M",3,"NRG","F","150 Rad","CB.38Kq",14.37980769,8.724827139,0.861711322,0,475.253886
"140708M",6,"NRG","F","900 Rad","CB.38Kq",427.4166496,12.78074566,344.3163432,0.101838611,918.2894737
"140708M",6,"NRG","F","900 Rad","CB.38Kq",532.1015221,9.239128184,449.723597,0,3548.954128
"140708M",6,"NRG","F","150 Rad","CB.38Kq",106.998139,2.783188586,82.6710091,0,91.05022831
"140708M",6,"NRG","M","900 Rad","CB.38Kq",6.204330385,1.12806007,3.179078379,0,14.37980769
"140708M",6,"NRG","M","900 Rad","CB.38Kq",7.942557652,0.888312369,4.755083857,0.052253669,12.78205128
"140708M",6,"NRG","F","150 Rad","CB.38Kq",169.7931837,8.507705834,123.9031341,0,229.0405405
"140708M",6,"NRG","F","150 Rad","CB.38Kq",66.65152452,3.337711166,45.08477544,0,106.3466667
"140708M",10,"NRG","F","900 Rad","CB.38Kq",200.365738,5.575394448,178.9602057,1.941431995,2890.9
"140708M",10,"NRG","F","900 Rad","CB.38Kq",301.0737563,8.350507614,263.0662944,5.718832487,2634.8
"140708M",10,"NRG","F","150 Rad","CB.38Kq",33.77616455,1.256553741,29.15204678,0.452359347,579.4
"140708M",10,"NRG","M","900 Rad","CB.38Kq",1.79574928,0.513071223,1.026142445,0,5.2
"140708M",10,"NRG","M","900 Rad","CB.38Kq",4.547094983,0.593099346,3.311471346,0.049424945,5.4
"140708M",10,"NRG","F","150 Rad","CB.38Kq",53.43611168,4.063582637,42.46443856,1.168280008,101
"140708M",10,"NRG","F","150 Rad","CB.38Kq",24.06759203,1.905351036,18.50196138,0.350985717,247.5
"140708M",20,"NRG","F","900 Rad","CB.38Kq",594.6573604,28.88021408,359.7099426,89.44614875,6306.640316
"140708M",20,"NRG","F","900 Rad","CB.38Kq",490.5338374,20.04906692,295.977692,85.75654226,2636.4
"140708M",20,"NRG","F","150 Rad","CB.38Kq",293.7614439,10.07141848,156.9169257,56.48445889,24456
"140708M",20,"NRG","M","900 Rad","CB.38Kq",1.173335575,0.335238736,0.670477471,0.055873123,0
"140708M",20,"NRG","M","900 Rad","CB.38Kq",3.301324503,0.165066225,2.475993377,0,0
"140708M",20,"NRG","F","150 Rad","CB.38Kq",202.9373908,14.31282751,93.33269651,42.01331878,226.0779221
"140708M",20,"NRG","F","150 Rad","CB.38Kq",57.11638214,4.091431385,35.67728168,1.854782228,290.9004739
"140708M",30,"NRG","F","900 Rad","CB.38Kq",110.4201915,7.268866874,50.99304319,33.29252004,2637.2
"140708M",30,"NRG","F","150 Rad","CB.38Kq",49.35756949,2.805708707,3.321042959,24.04893177,977.4
"140708M",30,"NRG","M","900 Rad","CB.38Kq",0.168640054,0,0.056213351,0,0
"140708M",30,"NRG","M","900 Rad","CB.38Kq",1.021051434,0,0.510525717,0,10.2
"140708M",30,"NRG","F","150 Rad","CB.38Kq",20.99238889,2.160166667,1.661666667,10.13616667,156.2
"140708M",30,"NRG","F","150 Rad","CB.38Kq",94.19615972,6.743835915,3.371917958,53.51560113,9.5
"141118R",3,"NRG-W41","F","0 Rad","CB.38K",0.131797517,0,0.087865011,NA,0
"141118R",3,"NRG","F","900 Rad","CB.20K",1.610989997,0.902154399,0.579956399,NA,0
"141118R",3,"NRG-W41","M","0 Rad","CB.38K",0.141257496,0.047085832,0.094171664,NA,4.545454545
"141118R",3,"NRG-W41","M","150 Rad","CB.38K",8.384264381,5.604950221,1.111725664,NA,445.8333333
"141118R",3,"NRG","F","0 Rad","CB.38K",1.221320241,0.04885281,0.683939335,NA,0
"141118R",3,"NRG","F","900 Rad","CB.38K",0.790679378,0.372084413,0.186042207,NA,8.196721311
"141118R",3,"NRG","M","0 Rad","CB.38K",3.930167598,3.20027933,0.112290503,NA,308.7557604
"141118R",3,"NRG","M","900 Rad","CB.38K",0.086772578,0.043386289,0,NA,0
"141118R",3,"NRG","F","900 Rad","CB.20K",2.618039726,1.799902312,0.57269619,NA,289.1566265
"141118R",3,"NRG-W41","F","0 Rad","CB.38K",NA,NA,NA,NA,0
"141118R",3,"NRG-W41","F","150 Rad","CB.38K",NA,NA,NA,NA,28.00546448
"141118R",3,"NRG-W41","M","150 Rad","CB.38K",NA,NA,NA,NA,15.15151515
"141118R",3,"NRG","F","0 Rad","CB.38K",NA,NA,NA,NA,456.25
"141118R",3,"NRG","M","0 Rad","CB.38K",NA,NA,NA,NA,1.919385797
"141118R",3,"NRG","M","900 Rad","CB.38K",NA,NA,NA,NA,205.1546392
"141118R",3,"NRG-W41","F","150 Rad","CB.20K",NA,NA,NA,NA,0
"141118R",3,"NRG-W41","F","150 Rad","CB.20K",NA,NA,NA,NA,220.1257862
"141118R",3,"NRG","F","900 Rad","CB.20K",NA,NA,NA,NA,89.85507246
"141118R",10,"NRG-W41","F","150 Rad","CB.38K",237.1209064,7.702836716,185.9027906,3.563999077,3276.7
"141118R",10,"NRG-W41","F","0 Rad","CB.38K",62.16977783,3.824954191,42.70247366,1.027599634,1219.4
"141118R",10,"NRG","F","900 Rad","CB.20K",47.00539318,1.271978659,35.90448852,0.346903271,418.7
"141118R",10,"NRG-W41","F","0 Rad","CB.38K",3.404279536,0.170213977,2.496471659,0,3.5
"141118R",10,"NRG-W41","M","150 Rad","CB.38K",374.7121844,77.65606903,224.0767315,4.214790364,2641.8
"141118R",10,"NRG-W41","M","0 Rad","CB.38K",74.49698384,3.574493512,57.30537218,2.156043706,91.9
"141118R",10,"NRG-W41","M","150 Rad","CB.38K",23.05235214,1.195307148,15.82358986,0.170758164,132.1
"141118R",10,"NRG-W41","M","0 Rad","CB.38K",2.44086629,1.40819209,0.563276836,0.093879473,0
"141118R",10,"NRG","F","900 Rad","CB.38K",350.500789,8.091073039,254.9811767,26.4645514,986.7
