Exp,Week,Strain,Sex,Irradiation.Dose,Input,Mouse,Beads1,Beads2,Total Cells,CD45,GPA,CD33.15,CD19,CD3,CD34,CD45 Percent,GPA Percent,CD33.15 Percent,CD19 Percent,CD3 Percent,CD34 Percent
141118R,20,NRG-W41,F,150 Rad,CB.20K,R5LL,143,210,84594,45571,79,1667,38980,490,252,53.87025085,0.093387238,1.970588931,46.07891813,0.579237298,0.297893468
141118R,20,NRG-W41,F,150 Rad,CB.20K,R5L,421,531,70242,9237,46,652,7193,3,69,13.15025199,0.065487885,0.928219584,10.24031206,0.004270949,0.098231827
141118R,20,NRG-W41,F,150 Rad,CB.20K,R5R,332,508,67942,37520,9,2060,23208,6335,131,55.22357305,0.013246593,3.031997881,34.158547,9.324129404,0.192811516
141118R,20,NRG-W41,F,150 Rad,CB.20K,R6LL,152,252,49332,34855,30,1998,20712,9388,244,70.65393659,0.060812454,4.050109462,41.98491851,19.03024406,0.494607962
141118R,20,NRG,F,900 Rad,CB.20K,R6L,222,291,58808,47516,9,2684,31840,9154,258,80.79853081,0.01530404,4.564004897,54.14229357,15.5659094,0.438715821
141118R,20,NRG,F,900 Rad,CB.20K,R6R,149,206,16867,7304,2,473,5079,977,121,43.30349203,0.011857473,2.804292405,30.11205312,5.792375645,0.717377127
140825Q,20,NRG,F,900 Rad,CB.20K,Q1N,158,144,245422,236729,187,12644,102263,74212,402,96.45793776,0.076195288,5.151942369,41.6682286,30.23852792,0.163799496
140825Q,20,NRG,F,900 Rad,CB.20K,Q1R,97,80,353531,304314,176,15646,180187,59956,443,86.07844857,0.04978347,4.425637356,50.96780763,16.9591917,0.125307257
140825Q,20,NRG,F,900 Rad,CB.20K,Q1RR,56,23,175476,144055,72,4289,83107,34326,327,82.09384759,0.041031252,2.444208895,47.36089266,19.56164946,0.18635027
140825Q,20,NRG-W41,F,150 Rad,CB.20K,Q4L,161,45,170446,127693,160,3490,78914,9060,880,74.9169825,0.093871373,2.047569318,46.29853443,5.315466482,0.51629255
140825Q,30,NRG,F,900 Rad,CB.38K,Q1LL,123,97,112612,91318,47,8268,51686,6589,629,81.09082513,0.041736227,7.342023941,45.89741768,5.85106383,0.558555039
140825Q,30,NRG,F,150 Rad,CB.38K,Q2L,165,134,191971,118946,21,11783,65371,13646,687,61.96040027,0.010939152,6.137906246,34.05253919,7.108365326,0.357866553
140825Q,30,NRG,F,150 Rad,CB.38K,Q2LL,283,194,215367,148380,24,6328,89653,29926,402,68.89634902,0.011143769,2.938240306,41.62801172,13.89535073,0.186658123
140825Q,30,NRG,M,900 Rad,CB.38K,Q3L,164,110,178451,286,27,12,178,3,3,0.160268085,0.015130204,0.006724535,0.09974727,0.001681134,0.001681134
140825Q,30,NRG,M,900 Rad,CB.38K,Q3LL,444,281,138521,1654,62,92,955,67,7,1.194042781,0.044758556,0.066415922,0.689426152,0.048368117,0.005053385
140825Q,30,NRG,F,150 Rad,CB.38K,Q3R,252,164,86203,48156,11,3743,27439,9123,255,55.86348503,0.012760577,4.342076262,31.83067875,10.58315836,0.295813371
140825Q,30,NRG,F,150 Rad,CB.38K,Q3RR,179,140,175206,94008,35,2647,58571,22028,312,53.65569672,0.019976485,1.510793009,33.42979122,12.57262879,0.178076093
140825Q,30,NRG,M,900 Rad,BM.100K,Q5L,593,410,101934,6,132,1,1,1,0,0.005886162,0.129495556,0.000981027,0.000981027,0.000981027,0
140825Q,30,NRG,M,900 Rad,BM.100K,Q5LL,855,560,81494,5,60,0,3,0,0,0.006135421,0.073625052,0,0.003681253,0,0
140825Q,30,NRG,M,0 Rad,BM.100K,Q5R,1171,858,163392,2,85,0,0,0,0,0.00122405,0.052022131,0,0,0,0
140825Q,30,NRG-W41,M,150 Rad,BM.100K,Q6L,210,149,185428,369,70,20,224,5,4,0.198999072,0.037750502,0.010785858,0.120801605,0.002696464,0.002157172
140825Q,30,NRG-W41,M,150 Rad,BM.100K,Q6LL,381,244,105425,24782,14,7170,11299,210,72,23.50675836,0.013279583,6.801043396,10.71757173,0.19919374,0.068294996
140825Q,30,NRG-W41,M,0 Rad,BM.100K,Q6R,399,274,84697,6,51,0,5,0,0,0.007084076,0.060214648,0,0.005903397,0,0
140825Q,30,NRG-W41,M,0 Rad,BM.100K,Q6RR,337,189,133076,481,68,33,282,3,2,0.361447594,0.05109862,0.02479786,0.211908984,0.002254351,0.001502901
